Course Name,Course Code
Applied Animal Biology,AANB
Asian Canadian and Asian Migration Studies,ACAM
Adult and Higher Education,ADHE
African Studies,AFST
Agricultural Economics,AGEC
Anatomy,ANAT
Animal Science,ANSC
Anthropology,ANTH
Applied Biology,APBI
Applied Science Professional Program Platform,APPP
Applied Science,APSC
Arabic Studies,ARBC
Architecture,ARCH
Anthropological Archaeology,ARCL
Archival Studies,ARST
Art History,ARTH
Arts One Program,ARTS
Asian Studies,ASIA
Arts and Science Interdisciplinary Courses,ASIC
Asian Languages,ASLA
Astronomy,ASTR
Arts Studies,ASTU
Atmospheric Science,ATSC
Audiology and Speech Sciences,AUDI
Business Administration:  Core,BA
Business Administration: Accounting,BAAC
Business Administration: Business Statistics,BABS
Business Administration: Entrepreneurship,BAEN
Business Administration: Finance,BAFI
Business Administration: Health Care,BAHC
Business Administration: Human Resources Management,BAHR
Business Administration: International Management,BAIM
Business Administration: Business Technology Management,BAIT
Business Administration: Law,BALA
Business Administration: Marketing,BAMA
Business Administration: Management Science,BAMS
Business Administration: Policy Analysis,BAPA
Business Administration: Supply Chain,BASC
Business Administration: Sustainable Development,BASD
Business Administration: Strategic Management,BASM
Business Administration: Transportation and Logistics,BATL
Business Administration: Urban Land Economics,BAUL
Biochemistry,BIOC
Bioinformatics,BIOF
Biology,BIOL
Biotechnology,BIOT
Biomedical Engineering,BMEG
Botany,BOTA
Bridge Program,BRDG
Business,BUSI
"Cellular, Anatomical and Physiological Sciences",CAPS
Centre for Cross-Faculty Inquiry,CCFI
Critical and Curatorial Studies,CCST
Canadian Studies,CDST
Clean Energy Engineering,CEEN
Cell and Developmental Biology,CELL
"Central, Eastern and Northern European Studies",CENS
Chemical and Biological Engineering,CHBE
Chemistry,CHEM
Children's Literature,CHIL
Chinese,CHIN
Computing Information and Cognitive Systems,CICS
Civil Engineering,CIVL
Classical Chinese,CLCH
Classical Studies,CLST
Counselling Psychology,CNPS
"Classical, Near Eastern and Religious Studies",CNRS
Cantonese,CNTO
Commerce Economics,COEC
Cognitive Systems Program,COGS
Commerce Human Resources,COHR
Computational Linguistics,COLX
Commerce,COMM
Commerce Minor,COMR
Natural Resources Conservation,CONS
Computer Engineering,CPEN
Computer Science,CPSC
Creative Writing,CRWR
Critical Studies in Sexuality,CSIS
Coordinated Science Program Workshop,CSPW
Catalan,CTLN
Danish,DANI
Dentistry,DENT
Design,DES
Dental Hygiene,DHYG
Digital Media,DMED
Data Science,DSCI
Early Childhood Education,ECED
Economics,ECON
"Educational & Counselling Psychology, & Special Education",ECPS
Curriculum and Pedagogy,EDCP
Educational Studies,EDST
Education,EDUC
Electrical and Computer Engineering,EECE
Electrical Engineering,ELEC
Executive M.B.A.,EMBA
Environmental Design,ENDS
English,ENGL
Engineering Physics,ENPH
Engineering and Public Policy,ENPP
Environmental Science,ENVR
Earth and Ocean Sciences,EOSC
Educational Psychology and Special Education,EPSE
Educational Technology,ETEC
"French, Hispanic and Italian Studies",FHIS
